County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Longitude,Latitude,Street Address
Richmond,728406,Store,JAC,JOHN BAGEL & DELI INC,JOHN BAGEL & DELI,1174,HYLAN BLVD,,,STATEN ISLAND,NY,10305,6000,-74.081974,40.598452,1174 HYLAN BLVD
Kings,728199,Store,JAC,TANVI FOODS INC,FREDDY'S FOOD MARKET,257,DRIGGS AVE.,,,BROOKLYN,NY,11222,5500,-73.947988,40.722675,257 DRIGGS AVE.
Kings,727789,Store,JAC,MONG KOK SUPERMARKET INC,MONG KOK SUPERMARKET,1815,86TH STREET,,,BROOKLYN,NY,11214,5000,-74.00215,40.606963,1815 86TH STREET
Kings,727732,Store,JAC,TASHKENT SUPERMARKET LLC,TASHKENT SUPERMARKET,713,BRIGHTON BEACH AVE,,,BROOKLYN,NY,11235,6000,-73.959881,40.577953,713 BRIGHTON BEACH AVE
Kings,727299,Store,JAC,ITO EN (NORTH AMERICA) INC,ITO EN,34,34TH STREET  2ND FLOOR UNI,,,BROOKLYN,NY,11232,6000,-74.006898,40.657634,34 34TH STREET  2ND FLOOR UNI
New York,727280,Store,JAC,NAMDOR INC,D'AGOSTINO SUPERMARKET,165,EAST 35TH STREET STORE #550,,,NEW YORK,NY,10016,15000,-73.977953,40.746515,165 EAST 35TH STREET STORE #550
Bronx,727260,Store,JAC,FRESH DIRECT LLC,FRESH DIRECT,2,ST. ANN'S AVENUE C/O FOOD SAFET,,,BRONX,NY,10454,40000,,,2 ST. ANN'S AVENUE C/O FOOD SAFET
Kings,726740,Store,JAC,4003 CHURCH FARM MARKET INC,4003 CHURCH FARM MARKET,4003,CHURCH AVE,,,BROOKLYN,NY,11203,10000,-73.939822,40.651288,4003 CHURCH AVE
Queens,725855,Store,JAC,LGT FOOD CORP,BRAVO SUPERMARKET,24-18,34TH AVENUE,,,ASTORIA,NY,11106,10000,-73.930796,40.761331,24-18 34TH AVENUE
New York,725732,Store,JAC,DG 231 FOOD CORP,DANS,572,WEST 207TH ST,,,NEW YORK,NY,10034,8000,-73.920428,40.866463,572 WEST 207TH ST
New York,725719,Store,JAC,WHOLE FOODS MARKET GROUP INC,WHOLE FOODS MARKET,1095,6TH AVE,,,NEW YORK,NY,10036,42000,-73.984379,40.754482,1095 6TH AVE
Kings,725648,Store,JAC,5 BOROUGHS BREWERY INC,FIVE BOROUGHS BREWING C,215,47TH ST,,,BROOKLYN,NY,11220,15000,-74.014651,40.650437,215 47TH ST
New York,725427,Store,JAC,RUSHIKA INC,SOHO DELI & GROCERY,15,STANTON STREET,,,NEW YORK,NY,10002,5000,-73.992168,40.722554,15 STANTON STREET
Kings,725408,Store,JAC,A&A COFFEE LLC,MIXTAPE BUSHWICK,175,VAN DYKE STREET 324A,,,BROOKLYN,NY,11231,6000,-74.016639,40.677003,175 VAN DYKE STREET 324A
Kings,725379,Store,JAC,CEM FOOD CORP,SHOP FAIR,256,LIVONIA AVENUE,,,BROOKLYN,NY,11212,10000,-73.908157,40.662556,256 LIVONIA AVENUE
Kings,725308,Store,JAC,HI MANGO 1055 INC,HI MANGO NATURAL MARKET,1055,FLUSHING AVE,,,BROOKLYN,NY,11237,5000,-73.930029,40.704219,1055 FLUSHING AVE
Kings,725147,Store,JAC,ARENA WINE & LIQUOR DEPOT CORP,ARENA WINE & LIQUOR DEP,633,WASHINGTON AVE,,,BROOKLYN,NY,11238,5000,-73.963942,40.678677,633 WASHINGTON AVE
Queens,725072,Store,JAC,BS COMM LLC,BEYOND SUSHI,43-44,21ST STREET,,,LONG ISLAND CITY,NY,11101,5000,-73.946515,40.749678,43-44 21ST STREET
Kings,725055,Store,JAC,DONGSHENG FOOD INC,DONGSHENG FOOD,6719,BAY PARKWAY,,,BROOKLYN,NY,11204,5000,-73.983074,40.612267,6719 BAY PARKWAY
Kings,724789,Store,JAC,GREEN CORNER NY LLC,GREEN CORNER FISH & FAR,801,FLUSHING AVE,,,BROOKLYN,NY,11206,10000,-73.940591,40.701043,801 FLUSHING AVE
Queens,724654,Store,JAC,ROCHDALE MEAT & PRODUCE LLC,KEY FOOD,166-02,BAISLEY BLVD,,,JAMAICA,NY,11434,20000,-73.777386,40.67955,166-02 BAISLEY BLVD
Queens,724610,Store,JAC,KRISHNA HOLDING INC,MAHARAJA FARMERS MARKET,249-12,HILLSIDE AVE,,,BELLEROSE,NY,11426,5500,-73.717911,40.735277,249-12 HILLSIDE AVE
Queens,724463,Store,JAC,FROOT CIRCLE INC,C-TOWN SUPERMARKET,39-07,65TH PLACE,,,WOODSIDE,NY,11377,5000,-73.898989,40.745732,39-07 65TH PLACE
Kings,724432,Store,JAC,BOGOPA BG FLATLANDS LLC,FOOD BAZAAR,111-10,FLATLANDS AVE,,,BROOKLYN,NY,11207,35000,-73.890353,40.650763,111-10 FLATLANDS AVE
New York,724372,Store,JAC,100 BROAD STREET LLC,ESSEN,100,BROAD ST,,,NEW YORK,NY,10004,15000,-74.011594,40.703475,100 BROAD ST
Queens,724151,Store,JAC,SANTIAGO MEAT & PRODUCE INC,CHERRY VALLEY,94-53,CORONA AVENUE,,,ELMHURST,NY,11373,10000,-73.868276,40.742173,94-53 CORONA AVENUE
New York,724079,Store,JAC,TARGET CORP,TARGET STORE T-3229,255,GREENWICH ST,,,NEW YORK,NY,10007,20000,-74.011456,40.714556,255 GREENWICH ST
New York,723973,Store,JAC,BROOKLYN FARE GREENWICH LLC,BROOKLYN FARE GREENWICH,666,GREENWICH ST,,,NEW YORK,NY,10014,10000,-74.007622,40.732448,666 GREENWICH ST
Kings,723852,Store,JAC,GOLDEN CITY SUPERMARKET 1 INC,GOLDEN CITY SUPERMARKET,2217,86TH STREET,,,BROOKLYN,NY,11214,5000,-73.993262,40.601597,2217 86TH STREET
Kings,723617,Store,JAC,VILLA TAPIA CITI FRESH SUPERMARKE,VILLA TAPIA CITI FRESH,40,NOSTRAND AVENUE,,,BROOKLYN,NY,11205,5000,-73.95325,40.698723,40 NOSTRAND AVENUE
Queens,723529,Store,JAC,PARADISE FRESH FOODS LLC,KEY FOODS,123-12,101 AVE,,,SOUTH RICHMOND HIL,NY,11419,10000,,,123-12 101 AVE
